ISIN,BSE,Company,NSE,Sector,Industry,Link
INE705A01016,532401,Vijaya Bank,VIJAYABANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/bankspublicsector/vijayabank/VB03
INE528G01027,532648,Yes Bank,YESBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/yesbank/YB
INE680A01011,532180,Dhanlaxmi Bank,DHANBANK,BANKS,FINANCIAL SERVICES,/india/stockpricequote/banksprivatesector/dhanlaxmibank/DB01
INE949L01017,540611,AU Small Financ,AUBANK,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/motilaloswalfinancialservices/ASF02
INE918I01018,532978,Bajaj Finserv,BAJAJFINSV,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/bajajfinserv/BF04
INE118A01012,500490,Bajaj Holdings,BAJAJHLDNG,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
INE296A01024,500034,Bajaj Finance,BAJFINANCE,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/bajajfinance/BAF
INE180K01011,533228,Bharat Fin,BHARATFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/sksmicrofinance/SM11
INE477A01020,511196,Can Fin Homes,CANFINHOME,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/canfinhomes/CFH
INE688I01017,532938,Capital First,CAPF,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/futurecapitalholdings/FCH
INE121A01016,511243,Cholamandalam,CHOLAFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB
INE202B01012,511072,Dewan Housing,DHFL,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/dewanhousingfinancecorporation/DHF
INE532F01054,532922,Edelweiss,EDELWEISS,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/edelweisscapital/EC01
INE988K01017,539844,Equitas Holding,EQUITAS,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/electricals/centumelectronics/EH03
INE289B01019,511676,GIC Housing Fin,GICHSGFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/gichousingfinance/GIC
INE580B01029,511288,GRUH Finance,GRUH,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/gruhfinance/GRU
INE001A01036,500010,HDFC,HDFC,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/housingdevelopmentfinancecorporation/HDF
INE148I01020,535789,Indiabulls Hsg,IBULHSGFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/canfinhomes/IHF01
INE274G01010,532960,Indiabulls Vent,IBVENTURES,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/indiabullssecurities/IS13
INE726G01019,540133,ICICI Prudentia,ICICIPRULI,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/nalwasonsinvestment/IPL01
INE043D01016,532659,IDFC,IDFC,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financetermlendinginstitutions/infrastructuredevelopmentfinancecompany/IDF
INE780C01023,523405,JM Financial,JMFINANCIL,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/jmfinancial/JMF
INE498L01015,533519,L&T Finance,L&TFH,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/finance-investments/ltfinanceholdings/LFH
INE115A01026,500253,LIC Housing Fin,LICHSGFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/lichousingfinance/LIC
INE774D01024,532720,M&M Financial,M&MFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/mahindramahindrafinancialservices/MMF04
INE511C01022,524000,Magma Fincorp,MAGMA,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/magmafincorp/MF20
INE522D01027,531213,Manappuram Fin,MANAPPURAM,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/manappuramgeneralfinanceleasing/MGF01
INE180A01020,500271,Max Financial,MFSL,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/packaging/maxindia/MI
INE338I01027,532892,Motilal Oswal,MOTILALOFS,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financegeneral/motilaloswalfinancialservices/MOF01
INE414G01012,533398,Muthoot Finance,MUTHOOTFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/muthootfinance/MF10
INE134E01011,532810,Power Finance,PFC,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financetermlendinginstitutions/powerfinancecorporation/PFC02
INE560K01014,533344,PTC India Fin,PFS,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financetermlendinginstitutions/ptcindiafinancialservices/PIF02
INE572E01012,540173,PNB Housing Fin,PNBHOUSING,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/gruhfinance/PHF
INE020B01018,532955,REC,RECLTD,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financetermlendinginstitutions/ruralelectrificationcorporation/REC02
INE013A01015,500111,Rel Capital,RELCAPITAL,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/reliancecapital/RC
INE612J01015,535322,Repco Home,REPCOHOME,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financehousing/canfinhomes/RHF
INE722A01011,532498,Shriram City,SHRIRAMCIT,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/shriramcityunionfinance/SCU
INE872A01014,523756,SREI Infra,SREINFRA,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/sreiinfrastructurefinance/SRE02
INE721A01013,511218,Shriram Trans,SRTRANSFIN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeleasinghirepurchase/shriramtransportfinancecorporation/STF
INE672A01018,501301,Tata Inv Corp,TATAINVEST,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/financeinvestments/tatainvestmentcorporation/TIC
INE334L01012,539874,Ujjivan Financi,UJJIVAN,FINANCE,FINANCIAL SERVICES,/india/stockpricequote/finance-general/ujjivanfinancialservices/UFS01
